"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Glucose metabolism","R-HSA-70326","reactome",1.985e-05,10,43,0.00187333,0.02596847,"Phosphate;beta-D-Glucose 6-phosphate;D-Aspartic acid;Mannose 6-phosphate;L-Aspartic acid;Glutamate; L-Glutamic acid;Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Ammonia;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;DHAP; Dihydroxyacetone phosphate;Aspartate; L-Aspartic acid;D-Tagatose 1-phosphate;D-Asp; D-Aspartic acid;beta-D-Glucose 6-phosphate; D-Glucose-6-P;D-fructose 1-phosphate; Fru 1-P; keto-D-fructose 1-phosphate;DL-Glutamate; Glutamate;Phosphate; Pi;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;Sorbose 1-phosphate;D-Tagatose 6-phosphate;G3P; Glyceraldehyde 3-phosphate;D-fructose 1-phosphate; Fru 1-P;(3S,4R)-Ketose 1-phosphate;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 5, 6"
"Glutamate and glutamine metabolism","R-HSA-8964539","reactome",0.00084872,6,25,0.02156086,1,"Phosphate;D-Aspartic acid;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;D-Glutamic acid;Ammonia;N-Acetyl-L-aspartic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;N-Acetyl-L-aspartic acid; NAA;Phosphate; Pi;Glutamine; L-Glutamine;Avenanthramide K","1"
"Generic Transcription Pathway","R-HSA-212436","reactome",0.00151198,9,59,0.03385301,1,"Pyrophosphate;Phosphate;beta-D-Glucose 6-phosphate;6-Phosphonoglucono-D-lactone; D-glucono-1,5-lactone-6-phosphate;Mannose 6-phosphate;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Ammonia;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;6-O-phosphono-D-glucono-1,5-lactone; 6-Phosphonoglucono-D-lactone; D-Glucono-1,5-lactone 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;DL-Glutamate; Glutamate;Phosphate; Pi;PPi; Pyrophosphate;D-Tagatose 6-phosphate;Glutamine; L-Glutamine;6-Phosphonoglucono-D-lactone;6-O-phosphonato-D-glucono-1,5-lactone(2-);Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 2"
"Aspartate and asparagine metabolism","R-HSA-8963693","reactome",6.4e-07,9,24,0.00013852,0.00084056,"Taurine;3-Sulfinoalanine;Pyrophosphate;D-Aspartic acid;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Adenosine monophosphate;D-Glutamic acid;Ammonia;N-Acetyl-L-aspartic acid;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;3-Sulfinoalanine; CSA;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;N-Acetyl-L-aspartic acid; NAA;PPi; Pyrophosphate;Glutamine; L-Glutamine;Vidarabine phosphate;Cysteine sulfinic acid;Avenanthramide K","1"
"Glutathione synthesis and recycling","R-HSA-174403","reactome",0.00247802,4,13,0.04744154,1,"Phosphate;Cysteinylglycine;Glutamate; L-Glutamic acid;D-Glutamic acid;Pyroglutamic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;OPRO; Pyroglutamic acid;DL-Glutamate; Glutamate;Phosphate; Pi;Cysteinyl-glycine; Cysteinylglycine;5-oxoproline; Pyroglutamic acid;2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid","1, 4"
"Glycogen synthesis","R-HSA-3322077","reactome",0.00081332,4,10,0.02106652,1,"Pyrophosphate;Phosphate;beta-D-Glucose 6-phosphate;D-Mannose 1-phosphate;Galactose 1-phosphate;Mannose 6-phosphate;D-Glucose-6-Phosphate; Glucose 1-phosphate;Dolichyl phosphate D-mannose;beta-D-Glucose 6-phosphate; D-Glucose-6-P;alpha-D-galactose 1-phosphate; Gal1P; Galactose 1-phosphate;alpha-D-mannose 1-phosphate; D-Mannose 1-phosphate;Phosphate; Pi;G1P; Glucose 1-phosphate;PPi; Pyrophosphate;Glucose 1-phosphate;D-Mannose 1-phosphate; Man1P;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;beta-D-Glucose 1-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1"
"Transcriptional Regulation by TP53","R-HSA-3700989","reactome",0.00043324,8,40,0.01300707,0.55368153,"Phosphate;beta-D-Glucose 6-phosphate;6-Phosphonoglucono-D-lactone; D-glucono-1,5-lactone-6-phosphate;Mannose 6-phosphate;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Ammonia;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;6-O-phosphono-D-glucono-1,5-lactone; 6-Phosphonoglucono-D-lactone; D-Glucono-1,5-lactone 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;DL-Glutamate; Glutamate;Phosphate; Pi;D-Tagatose 6-phosphate;Glutamine; L-Glutamine;6-Phosphonoglucono-D-lactone;6-O-phosphonato-D-glucono-1,5-lactone(2-);Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 2"
"Synthesis of UDP-N-acetyl-glucosamine","R-HSA-446210","reactome",0.00022574,6,20,0.00828349,0.29030473,"Pyrophosphate;N-Acetyl-D-Glucosamine 6-Phosphate;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Fructose 6-phosphate; Fructose-6-Phosphate;N-Acetyl-glucosamine 1-phosphate;D-Glutamic acid;N-Acetylglucosamine 6-phosphate;N-Acetylmannosamine-6P;N-Acetyl-D-mannosamine 6-phosphate;AcGlcN6P; N-Acetyl-D-Glucosamine 6-Phosphate;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Beta-D-Fructose 6-phosphate; Fructose-6-P;DL-Glutamate; Glutamate;PPi; Pyrophosphate;D-Tagatose 6-phosphate;N-acetyl-alpha-D-galactosamine 1-phosphate;N-Acetyl-D-galactosamine 1-phosphate;AcGlcN1P; N-Acetyl-glucosamine 1-phosphate;Glutamine; L-Glutamine;(5-Acetamido-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);D-fructose 6-phosphate","1"
"Pyrimidine biosynthesis","R-HSA-500753","reactome",0.00040192,6,22,0.01234741,0.51445995,"Pyrophosphate;Phosphate;D-Aspartic acid;Orotidylic acid;L-Aspartic acid;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;D-Glutamic acid;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;Orotidine; Orotidylic acid;Phosphate; Pi;PPi; Pyrophosphate;Glutamine; L-Glutamine;Orotidine; Orotidine 5'-phosphate","1, 5"
"TP53 Regulates Metabolic Genes","R-HSA-5628897","reactome",1.538e-05,8,26,0.00156239,0.02012662,"Phosphate;beta-D-Glucose 6-phosphate;6-Phosphonoglucono-D-lactone; D-glucono-1,5-lactone-6-phosphate;Mannose 6-phosphate;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Ammonia;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;6-O-phosphono-D-glucono-1,5-lactone; 6-Phosphonoglucono-D-lactone; D-Glucono-1,5-lactone 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;DL-Glutamate; Glutamate;Phosphate; Pi;D-Tagatose 6-phosphate;Glutamine; L-Glutamine;6-Phosphonoglucono-D-lactone;6-O-phosphonato-D-glucono-1,5-lactone(2-);Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 3, 4, 5"
"Glycogen breakdown (glycogenolysis)","R-HSA-70221","reactome",0.00123155,4,11,0.02885891,1,"Phosphate;beta-D-Glucose 6-phosphate;D-Mannose 1-phosphate;Galactose 1-phosphate;Mannose 6-phosphate;D-Glucose-6-Phosphate; Glucose 1-phosphate;Adenosine monophosphate;Dolichyl phosphate D-mannose;Adenosine monophosphate; AMP;beta-D-Glucose 6-phosphate; D-Glucose-6-P;alpha-D-galactose 1-phosphate; Gal1P; Galactose 1-phosphate;alpha-D-mannose 1-phosphate; D-Mannose 1-phosphate;Phosphate; Pi;G1P; Glucose 1-phosphate;Glucose 1-phosphate;D-Mannose 1-phosphate; Man1P;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;beta-D-Glucose 1-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1, 3"
"Urea cycle","R-HSA-70635","reactome",0.00040192,6,22,0.01234741,0.51445995,"Pyrophosphate;Phosphate;D-Aspartic acid;L-Aspartic acid;Glutamate; L-Glutamic acid;Adenosine monophosphate;D-Glutamic acid;Ammonia;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;Phosphate; Pi;PPi; Pyrophosphate;Vidarabine phosphate;Avenanthramide K","1"
"Glycogen metabolism","R-HSA-8982491","reactome",0.00063544,5,16,0.01785981,0.81018111,"Pyrophosphate;Phosphate;beta-D-Glucose 6-phosphate;D-Mannose 1-phosphate;Galactose 1-phosphate;Mannose 6-phosphate;D-Glucose-6-Phosphate; Glucose 1-phosphate;Adenosine monophosphate;Dolichyl phosphate D-mannose;Adenosine monophosphate; AMP;beta-D-Glucose 6-phosphate; D-Glucose-6-P;alpha-D-galactose 1-phosphate; Gal1P; Galactose 1-phosphate;alpha-D-mannose 1-phosphate; D-Mannose 1-phosphate;Phosphate; Pi;G1P; Glucose 1-phosphate;PPi; Pyrophosphate;Glucose 1-phosphate;D-Mannose 1-phosphate; Man1P;Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;beta-D-Glucose 1-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","1"
"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P","R-HSA-6791055","reactome",0.00224114,2,2,0.04418735,1,"Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;D-Sedoheptulose 7-phosphate;D-Sedoheptulose 7-phosphate; SH7P;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;G3P; Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate; SH7P","Did not cluster"
"Pentose phosphate pathway disease","R-HSA-6791465","reactome",0.00188318,3,6,0.03886995,1,"Glyceraldehyde 3-phosphate; Glyceraldehyde-3-Phosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Sedoheptulose 7-phosphate;D-Sedoheptulose 7-phosphate; SH7P;Fructose 6-phosphate; Fructose 6P;Beta-D-Fructose 6-phosphate; Fructose-6-P;Glyceraldehyde 3-phosphate; Glyceraldehyde-3-P;D-Tagatose 6-phosphate;G3P; Glyceraldehyde 3-phosphate;Fructose-6-Phosphate (closed form);Sedoheptulose 7-phosphate; SH7P;D-fructose 6-phosphate","3"
"Synthesis of GDP-mannose","R-HSA-446205","reactome",0.00188318,3,6,0.03886995,1,"Pyrophosphate;D-Mannose 1-phosphate;Galactose 1-phosphate;D-Glucose-6-Phosphate; Glucose 1-phosphate;Fructose 6-phosphate; Fructose-6-Phosphate;Dolichyl phosphate D-mannose;Fructose 6-phosphate; Fructose 6P;Beta-D-Fructose 6-phosphate; Fructose-6-P;alpha-D-galactose 1-phosphate; Gal1P; Galactose 1-phosphate;alpha-D-mannose 1-phosphate; D-Mannose 1-phosphate;G1P; Glucose 1-phosphate;PPi; Pyrophosphate;D-Tagatose 6-phosphate;Glucose 1-phosphate;D-Mannose 1-phosphate; Man1P;beta-D-Glucose 1-phosphate;Fructose-6-Phosphate (closed form);D-fructose 6-phosphate","Did not cluster"
"Glycogen storage disease type Ib (SLC37A4)","R-HSA-3229133","reactome",0.00224114,2,2,0.04418735,1,"Phosphate;beta-D-Glucose 6-phosphate;Mannose 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;Phosphate; Pi;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","Did not cluster"
"Defective GFPT1 causes CMSTA1","R-HSA-4085023","reactome",0.00224114,2,2,0.04418735,1,"L-Glutamine;D-Glutamine;Fructose 6-phosphate; Fructose-6-Phosphate;Fructose 6-phosphate; Fructose 6P;Beta-D-Fructose 6-phosphate; Fructose-6-P;D-Tagatose 6-phosphate;Glutamine; L-Glutamine;Fructose-6-Phosphate (closed form);D-fructose 6-phosphate","Did not cluster"
"Cysteine and methionine catabolism","WP4504","wiki",0.00017925,7,39,0.00729761,0.2312356,"Taurine;3-Sulfinoalanine;L-Glutamine;Glutamate; L-Glutamic acid;D-Glutamine;Homocysteine;D-Glutamic acid;Ammonia;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;bisulfite; HSO3-; hydrogensulfite;DL-Glutamate; Glutamate;Glutamine; L-Glutamine;Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","4"
"Methionine de novo and salvage pathway","WP3580","wiki",0.00012252,8,49,0.00560871,0.15866167,"Pyrophosphate;Phosphate;Glutamate; L-Glutamic acid;Homocysteine;5-Methylthioribose 1-phosphate;D-Glutamic acid;Adenine;Ammonia;5-Methylthioribulose 1-phosphate;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Ade; Adenine;DL-Glutamate; Glutamate;Phosphate; Pi;5-Methylthioribose  1-phosphate; 5-Methylthioribose 1-phosphate;5-Methylthioribulose  1-phosphate; 5-Methylthioribulose 1-phosphate;PPi; Pyrophosphate;S-methyl-5-thio-D-ribulose 1-phosphate(2-);Avenanthramide K","4"
"Sulfur amino acid metabolism","WP3574","wiki",8e-07,12,67,0.00013852,0.00104741,"Taurine;3-Sulfinoalanine;Pyrophosphate;Phosphate;Glutamate; L-Glutamic acid;Homocysteine;5-Methylthioribose 1-phosphate;D-Glutamic acid;Adenine;Ammonia;5-Methylthioribulose 1-phosphate;Lanthionine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Ade; Adenine;bisulfite; HSO3-; hydrogensulfite;DL-Glutamate; Glutamate;L-lanthionine; Lanthionine;DL-Lanthionine;Phosphate; Pi;5-Methylthioribose  1-phosphate; 5-Methylthioribose 1-phosphate;5-Methylthioribulose  1-phosphate; 5-Methylthioribulose 1-phosphate;PPi; Pyrophosphate;S-methyl-5-thio-D-ribulose 1-phosphate(2-);L-Lanthionine; Lanthionine;Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","4"
