"pathwayName","pathwayId","pathwaySource","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","analytes","cluster_assignment"
"Nucleotide salvage","R-HSA-8956321","reactome",7.58e-06,15,46,0.00121235,0.01080631,"Pseudouridine 5'-phosphate;Inosinic acid;Pyrophosphate;Phosphate;Pseudouridine;Uridine;Uridine 5'-monophosphate;Adenosine monophosphate;Deoxyadenosine monophosphate;Adenine;Phosphoribosyl pyrophosphate;Ammonia;GMP; Guanosine monophosphate;2'-Deoxyguanosine 5'-monophosphate;dUMP;1-[(2R,3S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione;Adenosine monophosphate; AMP;UMP; Uridine 5'-monophosphate;Ura-Rib; Uridine;Ade; Adenine;Phosphoribosyl pyrophosphate; PRPP;IMP; Inosinic acid;guanosine 5'-monophosphate; Guanosine monophosphate;2'-deoxyadenosine 5'-monophosphate; Deoxyadenosine monophosphate;Pseudouridine; PURID;Pseudouridine 5'-phosphate; PURIDP;Phosphate; Pi;PPi; Pyrophosphate;Guanosine monophosphate;5-O-phosphonato-alpha-D-ribofuranosyl Diphosphate(5-);Vidarabine phosphate;[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate;[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;[(2S,5S)-5-(2,4-Dioxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate;Avenanthramide K","2"
"Aspartate and asparagine metabolism","R-HSA-8963693","reactome",0.0009598,8,24,0.0361693,1,"Taurine;3-Sulfinoalanine;Pyrophosphate;D-Aspartic acid;L-Aspartic acid;Glutamate; L-Glutamic acid;Adenosine monophosphate;D-Glutamic acid;Ammonia;N-Acetyl-L-aspartic acid;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;3-Sulfinoalanine; CSA;Aspartate; L-Aspartic acid;D-Asp; D-Aspartic acid;DL-Glutamate; Glutamate;N-Acetyl-L-aspartic acid; NAA;PPi; Pyrophosphate;Vidarabine phosphate;Cysteine sulfinic acid;Avenanthramide K","2"
"Glutathione synthesis and recycling","R-HSA-174403","reactome",0.00058707,6,13,0.02711906,0.82307856,"Phosphate;Cysteinylglycine;L-Cysteine;Glutamate; L-Glutamic acid;D-Glutamic acid;Glutathione;D-Cysteine;Pyroglutamic acid;cysteine; DL-Cysteine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Glutathione; GSH;Cysteine; L-Cysteine;OPRO; Pyroglutamic acid;DL-Glutamate; Glutamate;Phosphate; Pi;Cysteinyl-glycine; Cysteinylglycine;5-oxoproline; Pyroglutamic acid;Glutathionate(1-);2-[[(2S)-2-Amino-3-sulfanylpropanoyl]amino]acetic acid","3, 5"
"Glycogen synthesis","R-HSA-3322077","reactome",0.00112543,5,10,0.03662769,1,"Pyrophosphate;Phosphate;beta-D-Glucose 6-phosphate;D-Mannose 1-phosphate;Galactose 1-phosphate;Mannose 6-phosphate;Uridine 5'-monophosphate;D-Glucose-6-Phosphate; Glucose 1-phosphate;Dolichyl phosphate D-mannose;UMP; Uridine 5'-monophosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;alpha-D-galactose 1-phosphate; Gal1P; Galactose 1-phosphate;alpha-D-mannose 1-phosphate; D-Mannose 1-phosphate;Phosphate; Pi;G1P; Glucose 1-phosphate;PPi; Pyrophosphate;Glucose 1-phosphate;D-Mannose 1-phosphate; Man1P;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;beta-D-Glucose 1-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate","5"
"Interconversion of nucleotide di- and triphosphates","R-HSA-499943","reactome",0.00150766,12,50,0.04358018,1,"Pyrophosphate;Phosphate;Cysteineglutathione disulfide;Glutamate; L-Glutamic acid;Uridine 5'-monophosphate;Adenosine monophosphate;Deoxyadenosine monophosphate;D-Glutamic acid;Glutathione;Ammonia;GMP; Guanosine monophosphate;2'-Deoxyguanosine 5'-monophosphate;dUMP;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;UMP; Uridine 5'-monophosphate;Glutathione; GSH;guanosine 5'-monophosphate; Guanosine monophosphate;2'-deoxyadenosine 5'-monophosphate; Deoxyadenosine monophosphate;Cysteineglutathione disulfide; GSSG;DL-Glutamate; Glutamate;Phosphate; Pi;PPi; Pyrophosphate;Guanosine monophosphate;Cytidine 2',3'-cyclic phosphate; GSSG;Glutathionate(1-);Vidarabine phosphate;[(2S,3R,4R,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;Cifostodine;[(2R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate;[(2S,5S)-5-(2,4-Dioxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate;Avenanthramide K","2"
"TP53 Regulates Metabolic Genes","R-HSA-5628897","reactome",5.416e-05,10,26,0.00517059,0.07680066,"Phosphate;beta-D-Glucose 6-phosphate;Cysteineglutathione disulfide;6-Phosphonoglucono-D-lactone; D-glucono-1,5-lactone-6-phosphate;Mannose 6-phosphate;Glutamate; L-Glutamic acid;Adenosine monophosphate;Fructose 6-phosphate; Fructose-6-Phosphate;D-Glutamic acid;Glutathione;Ammonia;Fructose 6-phosphate; Fructose 6P;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;Adenosine monophosphate; AMP;Beta-D-Fructose 6-phosphate; Fructose-6-P;Glutathione; GSH;6-O-phosphono-D-glucono-1,5-lactone; 6-Phosphonoglucono-D-lactone; D-Glucono-1,5-lactone 6-phosphate;beta-D-Glucose 6-phosphate; D-Glucose-6-P;Cysteineglutathione disulfide; GSSG;DL-Glutamate; Glutamate;Phosphate; Pi;D-Tagatose 6-phosphate;6-Phosphonoglucono-D-lactone;Cytidine 2',3'-cyclic phosphate; GSSG;6-O-phosphonato-D-glucono-1,5-lactone(2-);Glutathionate(1-);Vidarabine phosphate;[(2R,3R,4S,5S)-3,4,5,6-Tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate;Cifostodine;Fructose-6-Phosphate (closed form);Avenanthramide K;D-fructose 6-phosphate;D-mannose 6-phosphate;alpha-D-glucose 6-phosphate;beta-D-fructose 2,6-bisphosphate","1, 2"
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)","R-HSA-5619108","reactome",0.00060839,5,9,0.02722554,0.85235701,"Elaidic acid;Oleic acid;Dodecanoic acid;Octadec-9-enoic Acid;Capric acid;Myristic acid;Palmitic acid;hexadecanoic acid; PALM; Palmitic acid;9Z-octadecenoic acid; OLEA; Oleic acid;9E-octadecenoic acid; Elaidic acid; ELDA;Myristic acid; MYSA; tetradecanoic acid;DDCX; Dodecanoic acid;Capric acid; DECA; decanoic acid;9Z-octadecenoic acid; OA; Oleic acid;hexadecanoic acid; Palmitic acid;Capric acid; DECA; Decanoic acid;Myristic acid; tetradecanoic acid","6"
"Transport of fatty acids","R-HSA-804914","reactome",0.00112543,5,10,0.03662769,1,"Elaidic acid;Oleic acid;Dodecanoic acid;Octadec-9-enoic Acid;Capric acid;Myristic acid;Palmitic acid;hexadecanoic acid; PALM; Palmitic acid;9Z-octadecenoic acid; OLEA; Oleic acid;9E-octadecenoic acid; Elaidic acid; ELDA;Myristic acid; MYSA; tetradecanoic acid;DDCX; Dodecanoic acid;Capric acid; DECA; decanoic acid;9Z-octadecenoic acid; OA; Oleic acid;hexadecanoic acid; Palmitic acid;Capric acid; DECA; Decanoic acid;Myristic acid; tetradecanoic acid","6"
"Linoleic acid metabolism affected by SARS-CoV-2","WP4853","wiki",0.00158252,5,15,0.04358018,1,"Elaidic acid;Oleic acid;Octadec-9-enoic Acid;Cis-8,11,14,17-Eicosatetraenoic acid;Arachidonic acid;Palmitic acid;Stearic acid;hexadecanoic acid; PALM; Palmitic acid;5Z,8Z,11Z,14Z-eicosatetraenoic acid; Arachidonic acid;9Z-octadecenoic acid; OLEA; Oleic acid;9E-octadecenoic acid; Elaidic acid; ELDA;FFA(18:0); octadecanoic acid; Stearic acid;5,8,11,14-eicosatetraenoic acid; 5,8,11,14-Icosatetraenoic Acid;8,11,14,17-eicosatetraenoic acid; Cis-8,11,14,17-Eicosatetraenoic acid;9Z-octadecenoic acid; OA; Oleic acid;hexadecanoic acid; Palmitic acid;20:4(8Z,11Z,14Z,17Z); 8,11,14,17-eicosatetraenoic acid; Cis-8,11,14,17-Eicosatetraenoic acid;5,8,11,14-Icosatetraenoic Acid","Did not cluster"
"Cysteine and methionine catabolism","WP4504","wiki",1.458e-05,11,39,0.00201584,0.02075337,"Taurine;3-Sulfinoalanine;Sulfite;Sulfate;L-Cysteine;Glutamate; L-Glutamic acid;Racemethionine;Homocysteine;L-Methionine; Methionine;D-Glutamic acid;Glutathione;Ammonia;D-Cysteine;cysteine; DL-Cysteine;TAU; Taurine;D-Glutamic acid; Glutamate;L-Glutamate; L-Glutamic acid;3-Sulfinoalanine; CSA;Methionine; Racemethionine;Glutathione; GSH;bisulfite; HSO3-; hydrogensulfite;Cysteine; L-Cysteine;Cystathione;DL-Glutamate; Glutamate;SO4(2-); Sulfate;SO3 2- (sulfite); Sulfite;Glutathionate(1-);Cysteine sulfinic acid;Avenanthramide K;bisulfite; HSO3-","1, 3, 8"
